UserLanguage,SQ 1 ,SQ 2,SQ 3,SQ 3_16_TEXT,SQ 4 ,SQ 5,Q 1.3,Q 1.4_1,Q 1.4_2,Q 1.4_3,Q 1.4_4,Q 1.4_5,Q 1.4_5_TEXT,Q 1.5,Q 2.1,Q 2.1_1_TEXT,Q 2.1_2_TEXT,Q 2.1_3_TEXT,Q 2.1_4_TEXT,Q 2.2,Q 2.3,Q 2.4,Q 2.5,Q 2.6,Q 2.6_1_TEXT,Q 2.6_2_TEXT,Q 3.2,Q 3.3,Q 3.4,Q 3.4_4_TEXT,Q 3.5,Q 3.5_12_TEXT,Q 3.6,Q 3.6_5_TEXT,Q 3.7,Q 4.1,Q 4.2,Q 4.3,Q 4.3_6_TEXT,Q 4.4,Q 4.4_12_TEXT,Q 4.5,Q 4.5_10_TEXT,Q 4.6,Q 4.7,Q 4.8,Q 4.9_1,Q 4.9_2,Q 4.9_3,Q 4.9_4,Q 4.9_5,Q 4.9_6,Q 4.9_7,Q 4.9_7_TEXT,Q 4.10,Q 4.10_5_TEXT,Q 4.11_1,Q 4.11_2,Q 4.12,Q 4.13,Q 4.13_10_TEXT,Q 4.14,Q 4.14_6_TEXT,Q 4.15,Q 4.15_8_TEXT,,,,,,,,psid
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Middle Management (Director / Divisional / Department Head),Yes,1–3 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,No,Maximum capacity in number of persons,50,,,,10-20 persons,€1 million – €5 million,"5,000 to 20,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",0,24,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Rock,Hip-Hop / Rap,Dance / Electronic,Latin,R&B,Classical / Opera,Jazz",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Fast food and quick-service restaurants",,Middle Management (Director / Divisional / Department Head),Yes,More than 5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,No,Maximum capacity in number of persons,80,,,,5-10 persons,"€500,000 – €1 million","20,001 to 100,000 inhabitants","Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",12,0,Every day,No,A mix of both,,"Pop,Rock,Hip-Hop / Rap,Dance / Electronic,Jazz",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Manufacturing / automotive / Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Education / Training / Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Construction / Building Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Entertainment / Leisure / Recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Catering for corporate events, weddings, and parties",,Middle Management (Director / Divisional / Department Head),Yes,More than 5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,No,Number of tables,,,,,Above 20 persons,€1 million – €5 million,"20,001 to 100,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",2400,1200,Every day,Yes,Chosen from the person on duty,,"Rock,Hip-Hop / Rap,Dance / Electronic",,"Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.)",,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Full-service restaurants,,Experienced: Professional or Non-Management,Yes,More than 5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,,,,Yes,Maximum capacity in number of persons,80,,,,5-10 persons,"€500,000 – €1 million","100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",12,23,Every day,No,Randomly selected or played by chance,,Rock,,"Radio (FM, AM or internet radio) or TV",,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Retired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Computer / Communications and Information / Internet / Web Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Construction / Building Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Civil Service / Local Government / Government/ Social Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Entertainment / Leisure / Recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,,Experienced: Professional or Non-Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Experienced: Professional or Non-Management,Yes,More than 5 years,,,,,,Biuro,No,Squared meters,,,,,Above 20 persons,€5 million – €15 million,"100,001 to 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Opening time,Cała doba,,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,Experimental,,"Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.)",,Yes,Yes,1-2 times a month,Solo artists,,"Pop,R&B,Experimental",,151–200 people,,Stayed the same,,,,,,,,,,,Paid by the guests (ticket/entry),,200,250,Increases significantly,Increasing revenue,,"Ticket sales,Increased food and beverage sales",,"High artist fees,Difficulty attracting audiences",,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Experienced: Professional or Non-Management,Yes,1–3 years,"Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,,Yes,Number of rooms,,,35,,Above 20 persons,"€500,000 – €1 million","5,000 to 20,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Opening time,7,,Every day,Yes,A mix of both,,"Pop,Latin,Classical / Opera,Country,Jazz",,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Radio (FM, AM or internet radio) or TV",,No,Yes,1-2 times a week,"Solo artists,Bands",,"Pop,Latin",,Up to 50 people,,Stayed the same,,,,,,,,,,,Paid by the guests (ticket/entry),,40,90,Increases slightly,Attracting new customers,,"Increased food and beverage sales,Sponsorships",,High artist fees,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,,Middle Management (Director / Divisional / Department Head),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Agriculture / Fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,"Hotels and similar accommodation,Holiday and other short-stay accommodation",,Experienced: Professional or Non-Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Manufacturing / automotive / Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Bars, pubs, and cocktail lounges,Themed restaurants",,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Hotels and similar accommodation,Holiday and other short-stay accommodation,Resort and destination dining",,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Craft breweries and microbreweries,,Experienced: Professional or Non-Management,Yes,1–3 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,Yes,Number of tables,,1,,,10-20 persons,€5 million – €15 million,"5,000 to 20,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",,,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,Country,,"Purchased music (CDs, digital downloads, etc.)",,Yes,Yes,1-2 times a month,Bands,,Country,,101–150 people,,Increased,,Increased by 25% to 50%,,,,,,,,,Free for the guests,,,,Increases significantly,Customer retention,,Merchandise sales,,High costs beside artists fees,,,,,,,,,
PL,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Catering for corporate events, weddings, and parties",,Owner / Partner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Entertainment / Leisure / Recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,"Camping grounds, recreational vehicle parks, and trailer parks",,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Part-time,Food / Beverage / Restaurant,Fast food and quick-service restaurants,,Entry Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,Produzione,Middle Management (Director / Divisional / Department Head),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Transportation / Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Full-service restaurants,,Senior Management (CEO / VP / Managing Director),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Civil Service / Local Government / Government/ Social Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,Food / Beverage / Restaurant,"Street food vendors and food trucks,Other:",Pizzeria da asporto,Owner / Partner,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Homemaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,industria alimentare,Experienced: Professional or Non-Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Aerospace / Aviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Other:,Museo,Front Line Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Retail / Wholesale Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),"Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Other:,Mense scolastiche,Experienced: Professional or Non-Management,Yes,More than 5 years,"High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)",,,,,No,Number of tables,,14,,,I do not know,I do not know,"More than 500,000 inhabitants","Monday,Tuesday,Wednesday,Thursday,Friday","Opening time,Closing time","7,30",15,Every day,No,Chosen from the person on duty,,"Pop,Rock,Dance / Electronic,Latin",,"Radio (FM, AM or internet radio) or TV",,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Agriculture / Fishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),"Banking / Financial Services/ Insurance/ Business Services (Staffing, Printing) / Consulting / PR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Self-employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,Hotels and similar accommodation,,Experienced: Professional or Non-Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Education / Training / Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Travel / Tourism / Hospitality,"Fast food and quick-service restaurants,Catering for corporate events, weddings, and parties",,Front Line Management,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Part-time,Travel / Tourism / Hospitality,Spa and wellness retreat services,,Middle Management (Director / Divisional / Department Head),Yes,More than 5 years,"Low autonomy (Commis Chef, Dishwasher, Housekeeper)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","High-autonomy (Executive Chef, Sous Chef, Restaurant Manager, Hotel Manager)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,Yes,Maximum capacity in number of persons,30,,,,5-10 persons,"€500,000 – €1 million","5,000 to 20,000 inhabitants","Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",10,22,Every day,Yes,Carefully curated or planned to match the atmosphere and customer experience,,"Classical / Opera,Other (please specify)",Chill out,"Streaming services (e.g., Spotify, Deezer, Apple Music, etc.),Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,Coffee shops and tea houses,,Experienced: Professional or Non-Management,Yes,3–5 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Low autonomy (Commis Chef, Dishwasher, Housekeeper)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,No,Number of tables,,,,,5 persons,"€100,000 – €250,000","5,000 to 20,000 inhabitants","Monday,Tuesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",9,22,Every day,No,Randomly selected or played by chance,,"Pop,Latin",,"Purchased music (CDs, digital downloads, etc.)",,Yes,Yes,1-2 times a week,"Solo artists,Bands,DJ sessions",,"Pop,Latin",,51–100 people,,Stayed the same,,,,,,,,,,,Paid by the guests (ticket/entry),,5,10,No change,Attracting new customers,,Sponsorships,,Licensing and regulation costs,,,,,,,,,
IT,Full-time (30 or more hours per week),Food / Beverage / Restaurant,"Full-service restaurants,Fast food and quick-service restaurants,Themed restaurants",,Front Line Management,Yes,1–3 years,"Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)","Medium autonomy (Line Cook, Pastry Chef, Waiter, Bartender)",,Yes,Number of tables,,,,,2 persons,"€250,000 – €500,000","More than 500,000 inhabitants","Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","Opening time,Closing time",12,12,Most days,Yes,A mix of both,,Pop,,"Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.)",,Yes,Yes,1-2 times a week,DJ sessions,,"Hip-Hop / Rap,R&B",,Up to 50 people,,Increased,,Increased by 0% to 25%,,,,,,,,,Free for the guests,,,,No change,Customer retention,,Sponsorships,,Unpredictable revenue,,,,,,,,,
